"OTU","No_Sequences","No_Unique_Sites","No_Unique_Sites_Seqs","APcnt","BPcnt","CPcnt","DPcnt","EPcnt","FPcnt","GPcnt","HPcnt","IPcnt","JPcnt","KPcnt","LPcnt","MPcnt","NPcnt","Open","Closed","habcod","habcodthree","habcodclosedvsmixedopen","habcodopenvsmixedclosed"
"A_97.5_1",186,99,99,0,0,0,2.02020202020202,12.1212121212121,0,0,3.03030303030303,0,1.01010101010101,61.6161616161616,0,20.2020202020202,0,"1","0","1","2","1","1"
"A_97.5_2",224,131,131,0,0,0,1.52671755725191,22.9007633587786,0,0,29.7709923664122,0,0,0,2.29007633587786,43.5114503816794,0,"1","0","1","2","1","1"
"A_97.5_3",93,32,32,0,0,0,28.125,9.375,0,0,0,0,3.125,3.125,56.25,0,0,"0","1","0","0","0","0"
"A_97.5_4",96,48,48,0,0,0,12.5,54.1666666666667,0,0,10.4166666666667,0,2.08333333333333,2.08333333333333,12.5,6.25,0,"0","1","0","0","0","0"
"A_97.5_5",38,19,19,0,0,0,68.4210526315789,10.5263157894737,0,0,0,0,0,5.26315789473684,15.7894736842105,0,0,"0","1","0","0","0","0"
"A_97.5_6",31,10,10,0,0,0,20,0,0,0,0,0,0,10,60,10,0,"0","1","0","0","0","0"
"A_97.5_7",88,20,20,0,0,0,0,90,0,0,0,0,0,0,0,10,0,"0","1","0","0","0","0"
"A_97.5_8",43,9,9,11.1111111111111,0,88.8888888888889,0,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_9",6,5,5,20,0,0,0,40,20,0,0,0,0,0,20,0,0,"0","1","0","0","0","0"
"A_97.5_10",35,24,24,0,0,4.16666666666667,4.16666666666667,54.1666666666667,0,0,8.33333333333333,0,0,0,20.8333333333333,8.33333333333333,0,"0","1","0","0","0","0"
"A_97.5_11",37,11,11,0,0,0,18.1818181818182,27.2727272727273,0,0,9.09090909090909,0,0,0,9.09090909090909,36.3636363636364,0,"1","1","0&1","1","1","0"
"A_97.5_12",39,3,3,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,33.3333333333333,0,"1","1","0&1","1","1","0"
"A_97.5_13",36,25,25,0,0,0,4,56,0,0,8,0,0,0,16,16,0,"0","1","0","0","0","0"
"A_97.5_14",22,9,9,0,0,0,44.4444444444444,0,0,0,0,0,0,0,55.5555555555556,0,0,"0","1","0","0","0","0"
"A_97.5_15",10,9,9,0,0,0,11.1111111111111,33.3333333333333,0,0,33.3333333333333,0,0,0,11.1111111111111,11.1111111111111,0,"1","1","0&1","1","1","0"
"A_97.5_16",5,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_17",1,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_18",3,2,2,0,0,0,50,0,0,0,0,0,0,0,50,0,0,"0","1","0","0","0","0"
"A_97.5_19",1,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_21",3,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"A_97.5_22",8,4,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_25",1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"A_97.5_26",2,2,2,0,0,0,0,0,0,0,0,0,0,0,50,50,0,"1","1","0&1","1","1","0"
"A_97.5_28",6,3,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_29",6,4,4,0,0,0,0,75,0,0,0,0,0,0,0,25,0,"0","1","0","0","0","0"
"A_97.5_30",6,4,4,0,0,0,0,50,0,0,50,0,0,0,0,0,0,"1","1","0&1","1","1","0"
"A_97.5_31",1,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_32",3,2,2,0,0,0,0,0,50,0,0,0,0,0,50,0,0,"0","1","0","0","0","0"
"A_97.5_33",5,2,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_35",2,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_37",1,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_39",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"1","0","1","2","1","1"
"A_97.5_40",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"1","0","1","2","1","1"
"A_97.5_43",2,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_46",2,2,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_47",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"1","0","1","2","1","1"
"A_97.5_48",2,2,2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_49",2,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_62",1,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"A_97.5_64",1,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_65",1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_68",1,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_70",1,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"A_97.5_72",1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"I_97.5_1",158,54,54,0,0,0,12.962962962963,27.7777777777778,1.85185185185185,0,11.1111111111111,0,9.25925925925926,7.40740740740741,9.25925925925926,20.3703703703704,0,"1","1","0&1","1","1","0"
"I_97.5_2",1,1,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"I_97.5_3",55,2,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"I_97.5_4",3,3,3,0,0,0,33.3333333333333,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,"1","1","0&1","1","1","0"
"I_97.5_6",4,3,3,33.3333333333333,0,0,0,0,0,0,0,0,33.3333333333333,0,33.3333333333333,0,0,"1","1","0&1","1","1","0"
"I_97.5_8",3,1,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"0","1","0","0","0","0"
"I_97.5_11",2,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"1","0","1","2","1","1"
"I_97.5_12",1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"I_97.5_13",1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"I_97.5_16",1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"G_97.5_1",72,5,5,20,0,0,20,0,0,20,0,0,0,0,0,0,40,"0","1","0","0","0","0"
"G_97.5_3",7,5,5,20,0,0,0,60,0,20,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"G_97.5_5",5,2,2,50,0,0,50,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"G_97.5_7",5,2,2,0,0,0,50,0,0,0,0,0,0,0,0,0,50,"0","1","0","0","0","0"
"G_97.5_8",4,4,4,0,0,0,0,0,0,0,0,0,0,0,25,75,0,"1","0","1","2","1","1"
"G_97.5_9",4,4,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"G_97.5_10",3,2,2,0,0,0,0,0,0,100,0,0,0,0,0,0,0,"1","0","1","2","1","1"
"G_97.5_14",1,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"G_97.5_15",2,2,2,0,0,0,50,0,0,50,0,0,0,0,0,0,0,"1","1","0&1","1","1","0"
"G_97.5_17",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"0","1","0","0","0","0"
"S_97.5_1",427,186,186,0.537634408602151,0.537634408602151,0,7.52688172043011,24.1935483870968,12.9032258064516,0,3.2258064516129,0,4.83870967741935,28.494623655914,17.741935483871,0,0,"1","1","0&1","1","1","0"
"S_97.5_2",261,225,225,0,0,0,0,75.1111111111111,0,0,2.66666666666667,0,0,0,20,2.22222222222222,0,"0","1","0","0","0","0"
"S_97.5_3",142,16,16,0,0,0,12.5,25,0,0,0,0,0,0,62.5,0,0,"0","1","0","0","0","0"
"S_97.5_4",22,11,11,9.09090909090909,9.09090909090909,0,54.5454545454545,9.09090909090909,0,0,0,0,0,18.1818181818182,0,0,0,"0","1","0","0","0","0"
"S_97.5_6",5,2,2,0,0,0,0,50,0,0,0,0,50,0,0,0,0,"1","1","0&1","1","1","0"
"S_97.5_7",27,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"S_97.5_8",2,2,2,0,0,0,50,0,0,0,0,0,50,0,0,0,0,"1","1","0&1","1","1","0"
"S_97.5_9",5,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"S_97.5_10",3,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"S_97.5_12",1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0","1","0","0","0","0"
"S_97.5_21",1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"S_97.5_22",1,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"1","0","1","2","1","1"
"G_97.5_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","?"
"G_97.5_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","?"
"G_97.5_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","?"
"G_97.5_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","?"
"A_97.5_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","?","?","?","?","?"
