"Continent","Country","No_Seqs","No_OTUs","No_A_Seqs","No_A_OTUs","No_I_Seqs","No_I_OTUs","No_G_Seqs","No_G_OTUs","No_S_Seqs","No_S_OTUs"
"Africa",NA,26,10,9,4,2,2,8,3,7,1
"Africa","Ethiopia",4,1,0,0,0,0,0,0,4,1
"Africa","Kenya",7,4,0,0,1,1,4,2,2,1
"Africa","Morocco",3,3,1,1,1,1,0,0,1,1
"Africa","South Africa",10,4,6,3,0,0,4,1,0,0
"Africa","Tunisia",2,1,2,1,0,0,0,0,0,0
"Antarctica",NA,405,13,297,9,12,2,0,0,96,2
"Antarctica","Antarctica",405,13,297,9,12,2,0,0,96,2
"Asia",NA,415,38,87,16,152,11,149,7,27,4
"Asia","Armenia",4,1,4,1,0,0,0,0,0,0
"Asia","China",17,6,3,1,13,4,0,0,1,1
"Asia","Cyprus",1,1,1,1,0,0,0,0,0,0
"Asia","India",7,4,1,1,6,3,0,0,0,0
"Asia","Iran",27,4,10,1,13,2,0,0,4,1
"Asia","Japan",151,11,1,1,2,2,147,7,1,1
"Asia","Kazakhstan",25,6,12,4,11,1,0,0,2,1
"Asia","Kyrgyzstan",17,2,12,1,5,1,0,0,0,0
"Asia","Nepal",10,3,1,1,8,1,0,0,1,1
"Asia","Russia",104,13,20,6,77,5,1,1,6,1
"Asia","South Korea",26,9,15,4,10,4,0,0,1,1
"Asia","Thailand",3,2,2,1,0,0,1,1,0,0
"Asia","Turkey",23,6,5,2,7,1,0,0,11,3
"Europe",NA,1824,54,670,31,339,7,15,3,800,13
"Europe","Austria",93,14,41,10,16,2,0,0,36,2
"Europe","Bulgaria",1,1,1,1,0,0,0,0,0,0
"Europe","Czech Republic",7,4,3,2,3,1,0,0,1,1
"Europe","Denmark",3,1,3,1,0,0,0,0,0,0
"Europe","Estonia",8,4,1,1,2,2,0,0,5,1
"Europe","Finland",45,7,7,3,9,1,0,0,29,3
"Europe","France",26,8,24,6,1,1,0,0,1,1
"Europe","Germany",89,12,42,6,12,3,0,0,35,3
"Europe","Greece",66,7,51,5,14,1,0,0,1,1
"Europe","Iceland",193,7,3,2,0,0,0,0,190,5
"Europe","Ireland",2,2,1,1,0,0,0,0,1,1
"Europe","Italy",115,13,82,9,27,2,0,0,6,2
"Europe","Kosovo",1,1,0,0,0,0,0,0,1,1
"Europe","Netherlands",4,3,1,1,2,1,0,0,1,1
"Europe","Norway",264,20,41,9,45,4,0,0,178,7
"Europe","Poland",37,7,19,5,6,1,0,0,12,1
"Europe","Portugal",6,2,1,1,0,0,0,0,5,1
"Europe","Romania",6,1,6,1,0,0,0,0,0,0
"Europe","Slovakia",4,1,0,0,0,0,0,0,4,1
"Europe","Slovenia",3,2,3,2,0,0,0,0,0,0
"Europe","Spain",605,23,199,16,164,2,15,3,227,2
"Europe","Sweden",113,13,47,8,21,1,0,0,45,4
"Europe","Switzerland",28,6,21,3,4,1,0,0,3,2
"Europe","Ukraine",60,13,50,11,2,1,0,0,8,1
"Europe","United Kingdom",45,8,23,2,11,3,0,0,11,3
"North America",NA,1994,54,935,36,511,10,9,3,539,5
"North America","Canada",306,17,63,8,72,4,0,0,171,5
"North America","Costa Rica",13,3,9,1,0,0,1,1,3,1
"North America","Greenland",25,5,7,2,8,2,0,0,10,1
"North America","Mexico",74,9,66,5,8,4,0,0,0,0
"North America","USA",1576,50,790,33,423,10,8,2,355,5
"Oceania",NA,351,27,58,10,4,2,114,6,175,9
"Oceania","Australia",14,7,7,4,0,0,5,2,2,1
"Oceania","New Zealand",337,24,51,9,4,2,109,4,173,9
"South America",NA,82,25,24,8,13,4,15,10,30,3
"South America","Argentina",1,1,0,0,1,1,0,0,0,0
"South America","Bolivia",9,2,0,0,0,0,0,0,9,2
"South America","Brazil",11,8,0,0,0,0,11,8,0,0
"South America","Chile",34,10,14,6,7,2,0,0,13,2
"South America","Colombia",7,1,7,1,0,0,0,0,0,0
"South America","Ecuador",1,1,0,0,0,0,1,1,0,0
"South America","Falkland Islands",8,1,0,0,0,0,0,0,8,1
"South America","Peru",10,5,3,2,5,2,2,1,0,0
"South America","Uruguay",1,1,0,0,0,0,1,1,0,0
